Threshold: 	0.8
Algoritmo Usato:	 Greedy Modularity 
Time Community Detection: 	3.2969398498535156
Time Computation Matrix: 	3.2344377040863037
Feature 0: 	value__fft_coefficient__coeff_11__attr_"abs"
Feature 1: 	value__energy_ratio_by_chunks__num_segments_10__segment_focus_4
Feature 2: 	value__fft_coefficient__coeff_11__attr_"real"
Feature 3: 	value__fft_coefficient__coeff_10__attr_"angle"
Feature 4: 	value__fft_coefficient__coeff_8__attr_"abs"
Feature 5: 	value__fft_coefficient__coeff_10__attr_"real"
Feature 6: 	value__fft_coefficient__coeff_18__attr_"imag"
