Threshold: 	0.8
Algoritmo Usato:	 Greedy Modularity 
Time Community Detection: 	4.50008749961853
Time Computation Matrix: 	3.8125758171081543
Feature 0: 	value__approximate_entropy__m_2__r_0.9
Feature 1: 	value__approximate_entropy__m_2__r_0.3
Feature 2: 	value__approximate_entropy__m_2__r_0.7
Feature 3: 	value__fft_coefficient__coeff_3__attr_"abs"
Feature 4: 	value__approximate_entropy__m_2__r_0.5
Feature 5: 	value__spkt_welch_density__coeff_2
Feature 6: 	value__fft_coefficient__coeff_3__attr_"real"
