Threshold: 	0.8
Algoritmo Usato:	 Greedy Modularity 
Time Community Detection: 	4.593839645385742
Time Computation Matrix: 	3.953202724456787
Feature 0: 	value__approximate_entropy__m_2__r_0.9
Feature 1: 	value__approximate_entropy__m_2__r_0.3
Feature 2: 	value__approximate_entropy__m_2__r_0.7
Feature 3: 	value__fft_coefficient__coeff_3__attr_"abs"
Feature 4: 	value__approximate_entropy__m_2__r_0.5
Feature 5: 	value__spkt_welch_density__coeff_2
Feature 6: 	value__fft_coefficient__coeff_3__attr_"real"
Feature 7: 	value__change_quantiles__f_agg_"var"__isabs_True__qh_0.8__ql_0.4
Feature 8: 	value__agg_autocorrelation__f_agg_"mean"__maxlag_40
