Threshold: 	0.8
Algoritmo Usato:	 Greedy Modularity 
Time Community Detection: 	11.031395435333252
Time Computation Matrix: 	11.18764877319336
Feature 0: 	value__change_quantiles__f_agg_"var"__isabs_True__qh_0.6__ql_0.0
Feature 1: 	value__change_quantiles__f_agg_"var"__isabs_False__qh_0.6__ql_0.0
Feature 2: 	value__change_quantiles__f_agg_"mean"__isabs_True__qh_0.6__ql_0.0
Feature 3: 	value__change_quantiles__f_agg_"mean"__isabs_True__qh_0.8__ql_0.0
Feature 4: 	value__change_quantiles__f_agg_"var"__isabs_False__qh_0.8__ql_0.0
Feature 5: 	value__change_quantiles__f_agg_"var"__isabs_True__qh_0.8__ql_0.0
Feature 6: 	value__change_quantiles__f_agg_"var"__isabs_True__qh_0.6__ql_0.2
Feature 7: 	value__change_quantiles__f_agg_"var"__isabs_False__qh_0.6__ql_0.2
