Threshold: 	0.8
Algoritmo Usato:	 Greedy Modularity 
Time Community Detection: 	10.937644004821777
Time Computation Matrix: 	20.92215132713318
Feature 0: 	value__change_quantiles__f_agg_"var"__isabs_True__qh_0.6__ql_0.0
Feature 1: 	value__change_quantiles__f_agg_"var"__isabs_False__qh_0.6__ql_0.0
Feature 2: 	value__change_quantiles__f_agg_"mean"__isabs_True__qh_0.6__ql_0.0
Feature 3: 	value__change_quantiles__f_agg_"mean"__isabs_True__qh_0.8__ql_0.0
Feature 4: 	value__change_quantiles__f_agg_"var"__isabs_False__qh_0.8__ql_0.0
Feature 5: 	value__change_quantiles__f_agg_"var"__isabs_True__qh_0.8__ql_0.0
Feature 6: 	value__change_quantiles__f_agg_"var"__isabs_True__qh_0.6__ql_0.2
Feature 7: 	value__change_quantiles__f_agg_"var"__isabs_False__qh_0.6__ql_0.2
Feature 8: 	value__change_quantiles__f_agg_"mean"__isabs_True__qh_0.6__ql_0.2
Feature 9: 	value__maximum
Feature 10: 	value__change_quantiles__f_agg_"mean"__isabs_True__qh_0.8__ql_0.2
Feature 11: 	value__agg_linear_trend__f_agg_"max"__chunk_len_50__attr_"stderr"
Feature 12: 	value__change_quantiles__f_agg_"var"__isabs_True__qh_0.4__ql_0.0
Feature 13: 	value__change_quantiles__f_agg_"var"__isabs_False__qh_0.4__ql_0.0
Feature 14: 	value__change_quantiles__f_agg_"mean"__isabs_True__qh_0.4__ql_0.0
Feature 15: 	value__change_quantiles__f_agg_"var"__isabs_False__qh_0.8__ql_0.2
Feature 16: 	value__kurtosis
Feature 17: 	value__change_quantiles__f_agg_"var"__isabs_True__qh_0.8__ql_0.2
